x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.471161,0.843979,-0.209320,0.988993,90553.286378,2001-01-01 19:09:13.286 -0600
0.427231,0.818787,-0.209763,0.947068,90553.256593,2001-01-01 19:09:13.257 -0600
0.418091,0.814362,-0.223541,0.942314,90553.226685,2001-01-01 19:09:13.227 -0600
0.448807,0.838516,-0.245468,0.982238,90553.196900,2001-01-01 19:09:13.197 -0600
0.468948,0.873917,-0.233826,1.018979,90553.166993,2001-01-01 19:09:13.167 -0600
0.497391,0.883011,-0.222763,1.037656,90553.137208,2001-01-01 19:09:13.137 -0600
0.529846,0.875504,-0.222382,1.047233,90553.107301,2001-01-01 19:09:13.107 -0600
0.539062,0.879425,-0.216415,1.053951,90553.077516,2001-01-01 19:09:13.078 -0600
0.518402,0.841385,-0.199478,1.008197,90553.047608,2001-01-01 19:09:13.048 -0600
0.492493,0.814041,-0.194107,0.971025,90553.017823,2001-01-01 19:09:13.018 -0600
0.475952,0.840332,-0.201431,0.986541,90552.987916,2001-01-01 19:09:12.988 -0600
0.489395,0.856445,-0.203751,1.007234,90552.958131,2001-01-01 19:09:12.958 -0600
0.478470,0.883530,-0.184158,1.021505,90552.928224,2001-01-01 19:09:12.928 -0600
0.455200,0.893250,-0.175903,1.017862,90552.898438,2001-01-01 19:09:12.898 -0600
0.446976,0.889084,-0.181854,1.011597,90552.868531,2001-01-01 19:09:12.869 -0600
0.439484,0.884674,-0.189499,1.005835,90552.838754,2001-01-01 19:09:12.839 -0600
0.435974,0.902237,-0.180298,1.018142,90552.808847,2001-01-01 19:09:12.809 -0600
0.453552,0.910309,-0.182068,1.033209,90552.779062,2001-01-01 19:09:12.779 -0600
0.478394,0.889633,-0.175873,1.025299,90552.749124,2001-01-01 19:09:12.749 -0600
0.449249,0.871353,-0.139786,0.990263,90552.719339,2001-01-01 19:09:12.719 -0600
0.379089,0.838394,-0.101700,0.925719,90552.689431,2001-01-01 19:09:12.689 -0600
0.317413,0.828812,-0.082611,0.891350,90552.659646,2001-01-01 19:09:12.660 -0600
0.342148,0.863907,-0.117569,0.936602,90552.629739,2001-01-01 19:09:12.630 -0600
0.475891,0.936447,-0.170868,1.064237,90552.599954,2001-01-01 19:09:12.600 -0600
0.547195,0.991455,-0.150879,1.142441,90552.570047,2001-01-01 19:09:12.570 -0600
0.490158,1.011993,-0.057068,1.125896,90552.540262,2001-01-01 19:09:12.540 -0600
0.449249,0.919113,-0.013626,1.023122,90552.510354,2001-01-01 19:09:12.510 -0600
0.426636,0.867661,0.004517,0.966888,90552.480539,2001-01-01 19:09:12.481 -0600
0.403244,0.852005,0.001358,0.942613,90552.450631,2001-01-01 19:09:12.451 -0600
0.417831,0.849075,-0.018967,0.946505,90552.420846,2001-01-01 19:09:12.421 -0600
0.451630,0.882263,-0.032806,0.991682,90552.390939,2001-01-01 19:09:12.391 -0600
0.495071,0.924515,-0.032639,1.049232,90552.361154,2001-01-01 19:09:12.361 -0600
